en	lin
A man with a full stomach thinks no one is hungry.	Moto oyo atondi akanisaka lokola motu mususu aza na nzala te.
I'd like to give you a piece of advice.	Na kolinga kopesa yo mwa toli.
I didn't really miss Tom.	Nakanisaki penza Tom te.
We saved you a seat right there.	To bombelaki yo esika kaka wana.
It's not something I know how to do.	Ezali eloko oyo nayebi kosala te.
They think too much.	Ba banzaka mingi.
In this library, there are many books.	Na ebombelo yaba buku oyo, mikanda mizali mingi.
I don't even have a boyfriend.	Nazali ata na moniunga ya mobali te.
You love yourself.	Omilingi.
The teenage round-the-world pilot has died.	Elenge mokumbi mpepo ya mokili akufi.
Is there something new on the menu?	Eloko ya sika ezali na menu?
It won't be easy.	Ekozala pete te.
Could you wake me up tomorrow morning at a quarter to seven, please?	Okoki kolamusa ngayi lobi na tongo na ngonga ya motoba ba minuti tuku mineyi na mitano, na sengi nayo ?
A journey of a thousand miles begins with a single step.	Mobembo yaba kilometres koto na koto ebandaka mobele na lokolo moko.
At the sound of the whistle, the boat began to pull away from the port.	Soki piololo ebeti, masuwa ebandi ko tangwa mosika na libongo.
If you find yourself trapped by a bear in the forest, your best option is to get on the ground and play dead.	Soki ozwami na motambo ya ngombolo na zamba, likambo ya malamu yako sala ejali komibwaka na mabele mpe kosala lokola okufi.
My uncle Bob fixed my clock, and now it keeps the correct time.	Noko nangayi Bob abongisi saa mpe sikaawa ezali kopesa tango malamu.
The soul that wants God to give himself entirely to it must give itself entirely to him, holding nothing back for itself.	Moloko moye ejali na posa ete Nzambe amipesa mobimba naye, esengeli emipesa mobimba naye kozanga kobombela ye eloko moko.
Come on, Joe. Don't be a homebody. Come to the party with us! When you told Nancy she was so fat, you really hit a nerve.	Kenda, Joe. Kolinga komisala goyi goyi te. Yaka elongo nabiso na lipati! Tango olobelaki Nancy ete azali na zemi, osimbaki benza esika esalaka pasi.
Logic and common sense suggest that Russia, the European Union, and the United States must act together.	Bosembo mpe bomoto malamu esengi ete Russie, Lisanga ya bikolo ya Eropa mpe Lisanga ya Bikolo ya America basala elongo.
You have our permission to include our software, provided you give us a copy of the final product.	Bozwi ndikisa yako tiya logiciel na biso kaka soki boko pesa piso eteni ya mbuma ya mosala tango eko sila.
George Bush is the 41st president of the United States.	George Bush azali tata mokambi ya tuku minayi na moko ya ekolo America.
As for me, I don't travel to get somewhere. I travel for the sake of traveling. What matters is moving.	Na ngambo nangayi, nazali kosala mobembo te mpona kokende esika moko. Nazo sala mobembo kaka pona sala. Ya motuya ezali koningana.
A respectable name — a currency of truly substantial value that trades admirably well for anyone who knows how to present it.	Mbongo oyo ezali lisusu na motuya te elekaka malamu epayi ya oyo nani ayebi lolenge yako talisa yango.
Dan sold drugs to a dangerous drug dealer.	Dan atekisi likaya epayi ya mosali mombongo ya makaya ya mabe.
It is humanity that ruined man. To think that fool could have been the happiest of animals, if only he had known how to stay still. But no... he invented civilization.	Molongo mobimba nde ebungisi moto. Koloba ete zoba wana alingaki kozala nyama ya esngo koleka basusu, soki ayebaki komivandisa kimya. Kasi te... abandisaki lolenge ya kobika.
My credit card was rejected by the ATM.	Carte na ngayi ya banque eboyamaki na distributeur ya bongo.
It's not like we have to sell stuff, you know?	Ezali te lokola nde tosengeli kotekisa biloko, omoni?
A perfect match between theory and practice is a rare thing.	Boyakani mobongibe katikati ya maloba pamba mpe mosala ezali eloko moko emonanaka penza te.
Counting sheep helps you fall asleep.	Kotanga ba meme esungaka mpona kolala.
My therapist told me to go to a bar and strike up a conversation with a total stranger.	Monganga na ngai alobi na ngai ete nakende na nganda ya masanga mpe nasolola na moto azali mopaya epai na ngai.
You must kneel at my feet, kiss my hand, and swear that I am an angel.	Osengeli kofukama na makolo na ngai, opepwa ngai na maboko mpe okata ndayi ete nazali anzelu.
I will never forget to keep a fond thought in my heart for my dear teacher.	Nakobomba na motema na ngai libanzo ya malamu mpo na molakisi na ngai ya mwasi.
A man who can drive carefully while kissing a pretty lady simply isn't giving the kiss the attention it deserves.	Mobali oyo akoki kokumba na bokebi nyonso na ntango azali kopepwa mwasi ya bonzenga azali kopesa soki moke te lokumu oyo lipwepwe esengeli na yango.
She took out the bottle of champagne she had been saving for a special occasion.	Abimisi molangi ya champagne oyo abombaka mpo na likambo moko songolo.
What is permitted to Jupiter is not permitted to the ox.	Oyo epesami na mokonzi epesami na mongamba te.
I wish passersby would stop throwing their empty cans and other trash on the mountain trail.	Nalingi ete baleki nzela batika kobwaka milangi ya mpamba mpe bosoto misusu na nzela ya ngomba.
In the American judicial system, there are twelve people on a jury.	Na lolenge ya mibeko na america, ezalaka na bato zomi na mibale na lisanga ya bazuzi mpo na esambiselo.
To assume that justice does this is to destroy the very principle of its existence, which is the thing itself.	Kanisa ete mibeko nde esali bongo, ezali kobebisa mobeko ya bozalisi mambi ma mibeko maye mazali eloko ya motuya.
Thank you for your generous invitation, but we don't want to impose on your hospitality.	Botondi mpo na bobengisi na bino kasi tolingi kolekisa ndelo te na boyambi bolamu bopesi biso.
The company's health insurance covers all medical expenses.	Lisanga ya kompani ekofuta mbongo nyonso ya lopitalo.
In India, the cow is a sacred animal.	Na India, ngombe ezali nyama ya ekila.
The number of people on Facebook is greater than the population of the United States of America.	Motuya ya bato na Facebook eleki motuya ya bato banso ya mboka America.
In my daily life, I take care of my body in various ways so as not to damage my health.	Na bomoi na ngai ya mokolo na mokolo, nabatelaka nzoto na ngai lolenge ebele mpo ete nabebisa bokolongono bwa nzoto na ngai te.
The court's attitude toward young offenders differs from its attitude toward adult offenders.	Lolenge ya kosalela ya bazuzi liboso ya babuki mibeko ya bilenge ekeseni na oyo ya babuki mibeko ya mikolo.
The set of real numbers is a typical example of a field.	Lisanga ya mituya ya solo ezali ndakisa ya nzoto.
Don't look a gift horse in the mouth.	Eloko ya kokabela, bayimaka te.
A captain is responsible for this ship and its crew.	Mokumbi masuwa azali na bokonzi likolo ya masuwa mpe ya basali o kati ya masuwa.
Eventually, in 1314, these games became so violent and dangerous that King Edward II created a law about it.	Na nsuka, na mobu nkoto yoko na nkama isato ya zomi na minei (1314), masano myango makomaki makasi mingi mpe mabe ete mokonzi Edouard wa babale (II) akelaki mobeko na ntina na yango.
It's only when I can't sleep at night that the ticking of the clock becomes loud enough to bother me.	Kaka na ngonga nazangi mpongi na butu nde tiki-taki (tic tac) ya montele monene ekomaka makelele mpo na kotungisa ngai.
We can never be too careful when operating a nuclear power plant.	Tokozala ata mokolo moko te na ekenge mingi mpo na kosalisa ndako  bakelaka bombi (centrale nucléaire).
He sent me a letter to inform me that his chicken farm would go bankrupt sooner or later.	Atindelaki ngai monkanda mpo na koyebisa ngai ete etonga ya basoso na ye ekokangama atandele.
We tend to think that our time belongs to us only on Sundays and during vacations.	Tokanisaka ete ntango na biso ezalaka kaka mokolo ya lomingo mpe na ntango ya bopemi.
Children begin by loving their parents; after a time they judge them; rarely, if ever, do they forgive them.	Bana babandaka liboso kolinga baboti na bango; na nsima bakosambisa bango; ntango mosusu,  okebi te mpo na libela balimbisaka bango te.
Looking at the flowers, I suddenly thought that human beings also had a good side. It is they who discovered the beauty of flowers, and it is also humans who can appreciate it.	Na botali ba fololo, nabanzi na mpwasa ete bato na mokili mpe bazalaka mpe na bolamu. Ezali bango nde bamonaki liboso bonzenga ya ba fololo mpe ezali lisusu bato nde bakoki kolula yango.
I don't know whether he has special powers or not, but he is undoubtedly stronger than a normal human.	Nayabi te soki azali na nguya mosusu ya lolenge mosusu to te, kasi azali solo na makasi koleka oyo moto esengeli azala na yango.
These green leaves turn red or yellow in the fall.	Nkasa iye ya langi ya mpondu ikomaka motane to mpe na langi ya mosaka na automne.
This passage is the most technical part of this piano piece. It took me a long time before I learned how to play it.	Esika oyo ezali makasi koleka eteni ya kobeta piano oyo. Ezwaki ngai tango mingi yambo nayeba kobeta yango.
I put my fingers in my ears to avoid those terrible noises.	Natie misapi na matoyi na ngai pona koboya koyoka makele oyo ya mabe.
A sharp tongue is more dangerous than a sharp knife.	Monoko mabe ezali mabe mingi koleka mbeli ya mino makasi.
The owner of this bar never sells alcohol on credit.	Mokolo ya nganda oyo adefisaka masanga ata mokolo moko te.
Finding a solution that worked was a process of trial and error.	Kozwa eyano oyo esengelaki ezalaki lolenge ya komeka.
Jane must stop giving in to her craving for chocolate.	Jane esengeli atika kolandaka mposa na ye ya sokola (chocolat).
The first time you meet someone, you should pay attention to how close you stand to them.	Mbala ya liboso okutani na moto, esengeli ozala keba na lolenge ya komipesa na ye.
Eating ice cream always puts me in a good mood.	Kolia alaska etiyaka ngai ntango nyonso na nsai.
The crime would have been perfect if the thief hadn't forgotten to wipe off his fingerprints.	Mbeba ekokaki koleka malamu mingi soki moyibi abosanaki te kopangusa bilembo ya misapi mya ye ya mboko.
The Statue of Liberty is a symbol of America.	Ekeko ya bonsomi ezali elembo ya mboka America.
Mr. Johnson suddenly changed his mind and signed the contract.	M. Johnson abongoli makanisi na mpwasa mpe atie mokoloto na contrat.
A sudden clap of thunder woke him up.	Nkake elamusaki ya na mpwasa.
We currently have more security guards for the rich in the United States than police services for the poor.	Tozali na ngonga oyo okati ya America na ba sinzili oyo babatelaka ba mvuama ebele koleka ba pulusu pona babola.
The state shouldn't strip away civil rights, it should protect them!	Mbula matari esengelaki te alongola bosengeli mya bayi mboka, esengelaki nde abatela myango !
Mario, stop calling me gay! I'm straight!	Mario, tika kozwa ngai lokola pede! Nazali mobali !
Are you aware of the link between cigarette smoke and lung cancer?	Ozali na bososoli na ya maye mazali kati ya milinga ya likaya mpe bokono ya cancer ya poumon?
The data to be discussed below was collected in the following way.	Ba nsango tokolobela na nse awa mazwamaki na lolenge loye.
Many people never understand it and end up with a government job. How they manage that will forever remain a mystery.	Bato mingi basosolaka yango ata mokolo moko te mpe basilaka na kozwa mosala okati ya misala mya mbulamatari. Ndenge nini basalaka yango etikalaka kaka libombeli.
Mr. Brun is jealous of his colleague's success.	M. Brun azali na likunya ya moninga na ye ya mosala.
A warehouse full of fireworks exploded and destroyed an entire block of houses.	Magazin moko etondisamaki na mikali-kali ebetaki canon mpe ebebisi molongo mobimba ya ba ndako.
The parade was led by a military band.	Milulu mya ba mampinga elengelamaki bongo na lisanga mya mindule ya ba soda.
Bob told Jane not to meddle in his affairs.	Bob alobi na Jane akota makambo na ye te.
A huge cheer of encouragement rose from the crowd.	Milolo mya makasi pona kokumisa ewutaki okati ya lisanga ya bato.
Upon discovering that the others had succeeded, she turned green with envy.	na koma ete basusu ba longaki, atondisamaki na zuwa.
Birds, for example, have a particular system of protection.	Ndakisa ya ba ndeke, bazali na lolenge ekeseni ya komibatela.
Under torture, he confessed to crimes he hadn't committed.	Na nse ya monyokoli andimaki ba mbeba oyo ye asalaki te.
The king of the East had a beautiful garden, and in that garden stood a tree that bore golden apples.	Mokonzi monyele bisika moi ewutaka azalaki na elanga moko ya kitoko, mpe okati ya elanga wana, ezalaki na nzete moko ezalaki na ba mbuma ya wolo.
Sir, this CD is only available by special order.	Ndeko mobali, disque oyo epesami bobele soki osali commande.
Ladies and gentlemen, we have now landed at Tokyo International Airport.	ba ndeko basi mpe mibali, tosili kokita na libanda lya ndako ya pepo ya Tokyo (aéroport international de Tokyo).
The plane landed following the control tower's instructions.	Pepo ekiti na bolandi mitindo nyonso ya tour de contrôle.
One of the most important differences between Americans and Japanese is that the Japanese tend to choose a life free of danger, while Americans explore life and defy it.	Moko ya ba bokeseni ya motuya koleka mazali kati ya ba Américains na ba Japonais ezali ete ba Japonais basalaka ndeti ba pona bomoi ezanga mutungisi, kasi ba Américains bakotaka na mozingo ya bomoi mpe batiaka ntembe na bomoi.
The inspector held the wine glass up to the light to check for fingerprints.	Inspecteur atiyaki kopo ya vino na pole ya mwinda pona koyeba bilembo ya misapi mya maboko.
Tom got into the elevator and pressed the button for the third floor.	Tom akoti na ascenseur mpe afini buton ya etage ya misato.
I acted this way to protect myself from a similar fate.	Nasali bongo mpo na mibatela na likama ya boye na bomoi oyo etikali.
There is a curious crowd on both sides of the avenue.	Ezali na liboke ya bato oyo balingaka koyeba nyonso na ngambo mibale ya bala bala.
For dessert, Marie had made her chocolate cake and a fruit salad.	Pona kosukola monoko, Maria asalaki gato ya chocolat mpe salade ya ba mbuma ya sukali.
He has a reputation for being honest. He would never be involved in corruption.	Ayebani lokola moto ya sembo. Akoki soki moke te kokota na makambu ya moyibi.
My wife's hands are slightly smaller than the shop assistant's.	Maboko ya mwasi na ngai ezali mwa mike bokokanisi na maboko ya mosali ya magasin.
Post-election violence left 5 dead.	Mobulu sima mya maponami ebomaki bato mitano.
According to legend, those woods were haunted, so people avoided going into them.	Lisapo eloba ete, zamba wana ezalaki na milimo mabe, mpe bato bazalaki kokima kokota yango.
Individual charity is but a drop of water in the ocean.	Motema malamu oyo ezali kowuta kaka na moto moko ezali lokolo litango ya mayi okati ya ebala.
